Topic,Word,P,Label,CountryTopic
1,people,0.029356459,Social wellbeing,CA_1
1,home,0.017785462,Social wellbeing,CA_1
1,time,0.01671109,Social wellbeing,CA_1
1,work,0.014836608,Social wellbeing,CA_1
1,come,0.01262343,Social wellbeing,CA_1
1,want,0.012001843,Social wellbeing,CA_1
1,advertisement,0.010496439,Social wellbeing,CA_1
1,continue,0.010399056,Social wellbeing,CA_1
1,family,0.009839966,Social wellbeing,CA_1
1,look,0.009579651,Social wellbeing,CA_1
1,need,0.009563292,Social wellbeing,CA_1
1,way,0.009285262,Social wellbeing,CA_1
1,thing,0.008803077,Social wellbeing,CA_1
1,lot,0.008527528,Social wellbeing,CA_1
1,good,0.008130958,Social wellbeing,CA_1
1,community,0.007679107,Social wellbeing,CA_1
1,right,0.007640042,Social wellbeing,CA_1
1,day,0.007625207,Social wellbeing,CA_1
1,help,0.007344924,Social wellbeing,CA_1
1,feel,0.007044464,Social wellbeing,CA_1
2,public,0.025465731,Lockdown restrictions,CA_2
2,reopen,0.025411079,Lockdown restrictions,CA_2
2,province,0.024974165,Lockdown restrictions,CA_2
2,people,0.023082547,Lockdown restrictions,CA_2
2,health,0.016386047,Lockdown restrictions,CA_2
2,plan,0.014092711,Lockdown restrictions,CA_2
2,include,0.012614849,Lockdown restrictions,CA_2
2,allow,0.012239528,Lockdown restrictions,CA_2
2,open,0.01106175,Lockdown restrictions,CA_2
2,service,0.010992699,Lockdown restrictions,CA_2
2,continue,0.009937053,Lockdown restrictions,CA_2
2,restriction,0.009779292,Lockdown restrictions,CA_2
2,physical_distancing,0.008431281,Lockdown restrictions,CA_2
2,city,0.007794176,Lockdown restrictions,CA_2
2,measure,0.007793782,Lockdown restrictions,CA_2
2,place,0.007358744,Lockdown restrictions,CA_2
2,advertisement,0.006740365,Lockdown restrictions,CA_2
2,provincial,0.006711877,Lockdown restrictions,CA_2
2,order,0.006676275,Lockdown restrictions,CA_2
2,phase,0.00657739,Lockdown restrictions,CA_2
3,virus,0.03712685,Coronavirus infections and spread,CA_3
3,outbreak,0.030090781,Coronavirus infections and spread,CA_3
3,coronavirus,0.022588775,Coronavirus infections and spread,CA_3
3,people,0.019026175,Coronavirus infections and spread,CA_3
3,country,0.0179678,Coronavirus infections and spread,CA_3
3,spread,0.017452901,Coronavirus infections and spread,CA_3
3,case,0.016172308,Coronavirus infections and spread,CA_3
3,travel,0.013676904,Coronavirus infections and spread,CA_3
3,test,0.012675965,Coronavirus infections and spread,CA_3
3,health,0.011713563,Coronavirus infections and spread,CA_3
3,official,0.010215038,Coronavirus infections and spread,CA_3
3,infection,0.008981316,Coronavirus infections and spread,CA_3
3,continue,0.008675677,Coronavirus infections and spread,CA_3
3,symptom,0.008642903,Coronavirus infections and spread,CA_3
3,disease,0.008505587,Coronavirus infections and spread,CA_3
3,new,0.008377628,Coronavirus infections and spread,CA_3
3,advertisement,0.006978281,Coronavirus infections and spread,CA_3
3,contact,0.006803677,Coronavirus infections and spread,CA_3
3,risk,0.006199711,Coronavirus infections and spread,CA_3
3,quarantine,0.006161403,Coronavirus infections and spread,CA_3
4,government,0.029757109,Government economic support programs,CA_4
