Topic,Word,P,Label,CountryTopic
1,country,0.014481461,Economic support measures,IN_1
1,pandemic,0.012842922,Economic support measures,IN_1
1,support,0.010380275,Economic support measures,IN_1
1,need,0.008508293,Economic support measures,IN_1
1,economic,0.008503489,Economic support measures,IN_1
1,crisis,0.008474152,Economic support measures,IN_1
1,announce,0.007972357,Economic support measures,IN_1
1,measure,0.007654253,Economic support measures,IN_1
1,economy,0.006960805,Economic support measures,IN_1
1,help,0.006807145,Economic support measures,IN_1
1,situation,0.006796424,Economic support measures,IN_1
1,plan,0.006462043,Economic support measures,IN_1
1,statement,0.006432632,Economic support measures,IN_1
1,meeting,0.00623261,Economic support measures,IN_1
1,global,0.00578578,Economic support measures,IN_1
1,add,0.005438735,Economic support measures,IN_1
1,read,0.005410087,Economic support measures,IN_1
1,sector,0.005344076,Economic support measures,IN_1
1,step,0.004862104,Economic support measures,IN_1
1,hold,0.004858409,Economic support measures,IN_1
2,cent,0.042633913,Decline in economic growth,IN_2
2,year,0.036321104,Decline in economic growth,IN_2
2,percent,0.01741047,Decline in economic growth,IN_2
2,growth,0.016768888,Decline in economic growth,IN_2
2,quarter,0.014661669,Decline in economic growth,IN_2
2,expect,0.01386153,Decline in economic growth,IN_2
2,impact,0.012737147,Decline in economic growth,IN_2
2,revenue,0.012418723,Decline in economic growth,IN_2
2,decline,0.010824046,Decline in economic growth,IN_2
2,report,0.010620582,Decline in economic growth,IN_2
2,month,0.010200608,Decline in economic growth,IN_2
2,sale,0.008851708,Decline in economic growth,IN_2
2,estimate,0.008604252,Decline in economic growth,IN_2
2,sector,0.00839678,Decline in economic growth,IN_2
2,increase,0.007799236,Decline in economic growth,IN_2
2,demand,0.007177226,Decline in economic growth,IN_2
2,economy,0.007156297,Decline in economic growth,IN_2
2,low,0.006640964,Decline in economic growth,IN_2
2,fall,0.006606054,Decline in economic growth,IN_2
2,likely,0.006256281,Decline in economic growth,IN_2
3,case,0.068897538,"Coronavirus outbreak, infections and deaths",IN_3
3,test,0.036289655,"Coronavirus outbreak, infections and deaths",IN_3
3,people,0.024892827,"Coronavirus outbreak, infections and deaths",IN_3
3,number,0.024078589,"Coronavirus outbreak, infections and deaths",IN_3
3,positive,0.023886124,"Coronavirus outbreak, infections and deaths",IN_3
3,report,0.023025511,"Coronavirus outbreak, infections and deaths",IN_3
3,day,0.01820018,"Coronavirus outbreak, infections and deaths",IN_3
3,death,0.016889384,"Coronavirus outbreak, infections and deaths",IN_3
3,infection,0.013212251,"Coronavirus outbreak, infections and deaths",IN_3
3,virus,0.012972883,"Coronavirus outbreak, infections and deaths",IN_3
3,state,0.01232799,"Coronavirus outbreak, infections and deaths",IN_3
3,coronavirus,0.012234409,"Coronavirus outbreak, infections and deaths",IN_3
3,quarantine,0.011864344,"Coronavirus outbreak, infections and deaths",IN_3
3,health,0.011696092,"Coronavirus outbreak, infections and deaths",IN_3
3,official,0.011503305,"Coronavirus outbreak, infections and deaths",IN_3
3,new,0.011180901,"Coronavirus outbreak, infections and deaths",IN_3
3,district,0.011080863,"Coronavirus outbreak, infections and deaths",IN_3
3,patient,0.010061805,"Coronavirus outbreak, infections and deaths",IN_3
3,total,0.010060921,"Coronavirus outbreak, infections and deaths",IN_3
3,person,0.009530943,"Coronavirus outbreak, infections and deaths",IN_3
4,lockdown,0.030829106,Opening and closing of shops to to lockdown restrictions,IN_4
4,allow,0.021044798,Opening and closing of shops to to lockdown restrictions,IN_4
4,area,0.019317472,Opening and closing of shops to to lockdown restrictions,IN_4
4,shop,0.016574912,Opening and closing of shops to to lockdown restrictions,IN_4
4,open,0.015828269,Opening and closing of shops to to lockdown restrictions,IN_4
4,people,0.015308778,Opening and closing of shops to to lockdown restrictions,IN_4
4,district,0.014892174,Opening and closing of shops to to lockdown restrictions,IN_4
4,essential,0.013434112,Opening and closing of shops to to lockdown restrictions,IN_4
4,city,0.013412688,Opening and closing of shops to to lockdown restrictions,IN_4
4,service,0.013204633,Opening and closing of shops to to lockdown restrictions,IN_4
4,police,0.012009751,Opening and closing of shops to to lockdown restrictions,IN_4
4,order,0.010277871,Opening and closing of shops to to lockdown restrictions,IN_4
4,market,0.009049303,Opening and closing of shops to to lockdown restrictions,IN_4
4,social_distancing,0.008957294,Opening and closing of shops to to lockdown restrictions,IN_4
4,bus,0.00830461,Opening and closing of shops to to lockdown restrictions,IN_4
4,guideline,0.007961533,Opening and closing of shops to to lockdown restrictions,IN_4
4,activity,0.007316423,Opening and closing of shops to to lockdown restrictions,IN_4
4,movement,0.007175776,Opening and closing of shops to to lockdown restrictions,IN_4
4,restriction,0.007105423,Opening and closing of shops to to lockdown restrictions,IN_4
4,resident,0.006950693,Opening and closing of shops to to lockdown restrictions,IN_4
5,people,0.021581504,Social wellbeing,IN_5
5,world,0.012690331,Social wellbeing,IN_5
5,need,0.009160259,Social wellbeing,IN_5
5,time,0.007975806,Social wellbeing,IN_5
5,life,0.007898974,Social wellbeing,IN_5
5,health,0.005994381,Social wellbeing,IN_5
5,woman,0.005556715,Social wellbeing,IN_5
5,social,0.004906497,Social wellbeing,IN_5
5,public,0.004737058,Social wellbeing,IN_5
5,right,0.004665911,Social wellbeing,IN_5
5,problem,0.0044647,Social wellbeing,IN_5
5,change,0.004458814,Social wellbeing,IN_5
5,community,0.004458809,Social wellbeing,IN_5
5,political,0.004133937,Social wellbeing,IN_5
5,happen,0.004091802,Social wellbeing,IN_5
5,way,0.00395195,Social wellbeing,IN_5
5,virus,0.003840199,Social wellbeing,IN_5
5,question,0.003754576,Social wellbeing,IN_5
5,risk,0.00372853,Social wellbeing,IN_5
5,system,0.003604369,Social wellbeing,IN_5
6,time,0.015000842,Entertainment,IN_6
6,film,0.010782597,Entertainment,IN_6
6,people,0.010745591,Entertainment,IN_6
6,come,0.00950417,Entertainment,IN_6
6,video,0.008892006,Entertainment,IN_6
6,family,0.008688455,Entertainment,IN_6
6,post,0.008529327,Entertainment,IN_6
6,old,0.008283447,Entertainment,IN_6
6,home,0.007679394,Entertainment,IN_6
6,want,0.007031864,Entertainment,IN_6
6,feel,0.006427709,Entertainment,IN_6
6,thing,0.00640115,Entertainment,IN_6
6,actor,0.006351662,Entertainment,IN_6
6,share,0.006277291,Entertainment,IN_6
6,stay,0.005939187,Entertainment,IN_6
6,lot,0.005199644,Entertainment,IN_6
6,friend,0.005136456,Entertainment,IN_6
