Topics,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7,AU_8,AU_9,AU_10,AU_11,AU_12,AU_13,AU_14,AU_15,AU_16,AU_17,AU_18,AU_19,AU_20,AU_21,AU_22,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,CA_9,CA_10,CA_11,CA_12,CA_13,CA_14,CA_15,CA_16,GB_1,GB_2,GB_3,GB_4,GB_5,GB_6,GB_7,GB_8,GB_9,GB_10,GB_11,GB_12,GB_13,GB_14,GB_15,GB_16,GB_17,GB_18,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16,IN_17,IN_18,IN_19,IN_20,US_1,US_2,US_3,US_4,US_5,US_6,US_7,US_8,US_9,US_10,US_11,US_12,US_13,US_14,ZA_1,ZA_2,ZA_3,ZA_4,ZA_5,ZA_6,ZA_7,ZA_8,ZA_9,ZA_10,ZA_11,ZA_12,ZA_13,ZA_14,ZA_15,ZA_16,ZA_17,ZA_18,ZA_19,ZA_20,ZA_21,ZA_22
AU_1,0.0,0.07217568416195555,0.02270622537693311,0.045590854164297805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08335535072413253,0.06188476457129423,0.12606953059508857,0.0,0.0,0.10137077363459482,0.0,0.0,0.0,0.0,0.07148045461643575,0.3626605255782354,0.07002118000332905,0.0,0.0,0.07217028827542554,0.04156922087603801,0.08776797473203855,0.0,0.040598594769696704,0.0,0.0,0.0,0.0,0.08577735386449348,0.0,0.1938268888793521,0.0,0.0,0.0,0.4691058233443141,0.07045819045951743,0.03620097091761859,0.11841593465580041,0.0214354808359037,0.0,0.042570881742329994,0.0,0.0,0.1829209002937653,0.021907153425622713,0.042928808098395985,0.0,0.0,0.09232261964879686,0.0,0.11321792250900684,0.2532203283888998,0.06617694420129658,0.07918822694304595,0.11479435324292742,0.0,0.07314433122846163,0.04010246170745438,0.09144386342021171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02226383521044166,0.37864284028846107,0.0,0.0,0.0735746318655211,0.0,0.04263357285411189,0.0,0.0,0.0,0.035086510332066584,0.040607841467346584,0.03878332468984101,0.09078334612031877,0.04511751140054006,0.021637140187276284,0.11427950800469613,0.06073837150111964,0.0,0.08066334046221418,0.0,0.04068561659429275,0.08839910189695349,0.14425146097743957,0.3992005871070662,0.0,0.12307015043237371,0.03628337080790588,0.0,0.0,0.0,0.040655602004837435,0.0,0.0,0.056610459147295414,0.0
AU_2,0.07217568416195555,0.0,0.05886619486038276,0.07039369027164583,0.0,0.0,0.06421905342329641,0.0,0.0,0.0,0.03282078257628643,0.0,0.0,0.021674015726269168,0.0,0.11924734487524627,0.0,0.034891309488736984,0.0,0.0,0.0,0.0,0.06088184762505548,0.09551734576996083,0.47287232505935395,0.0,0.033039179754529566,0.6112935551853952,0.0,0.02966586615422978,0.033393152935406345,0.04090459690755376,0.0,0.0,0.042891290758209875,0.03278560157097771,0.0,0.03610637492634525,0.06120740339273595,0.0,0.0,0.0,0.022368515383840416,0.0600111574347367,0.0,0.7446780512375498,0.23470636598559508,0.0,0.0,0.0,0.02796773792662651,0.029323821756689936,0.08626413876808794,0.0,0.0,0.0,0.029600248395281633,0.0349435232934852,0.5824434337842073,0.06320689990086893,0.08966985619608007,0.057988602827962046,0.05849561815930156,0.035889105208619924,0.0,0.0,0.0777931983739248,0.08707043526984945,0.0,0.0,0.11811896946474934,0.0,0.0,0.0,0.0,0.0,0.023734283276300394,0.04237725612178349,0.03906713070506042,0.027926414716555662,0.7734262953658414,0.037610939530765435,0.0,0.07279485961734408,0.0,0.030910819011432385,0.0,0.08179798866954263,0.0,0.02910673034992549,0.0696628343902401,0.1688460740219381,0.5715864758895776,0.02127251235781367,0.0,0.059068811026722776,0.10883368427481992,0.0,0.0,0.3479622749900995,0.0,0.0,0.0,0.0,0.0,0.14740095412882676,0.03119455035681373,0.0,0.0,0.03326446637709503,0.06034938100750909,0.0
AU_3,0.02270622537693311,0.05886619486038276,0.0,0.0,0.0,0.0331970597300611,0.0,0.044982669536971914,0.0,0.0,0.06440496833981404,0.025259549551887178,0.0,0.06067916229468585,0.0637053380656101,0.039969370201609906,0.0,0.0,0.0,0.0,0.0,0.0,0.6071568821224368,0.021820000221374706,0.023483325771535883,0.034294841718025916,0.03443322744400689,0.09081155109593009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04380331947655453,0.0,0.0,0.05527181926788714,0.3378611715295169,0.0,0.0,0.04969383728567747,0.268953860908321,0.0,0.06046433717619124,0.02188184357917024,0.14369974388157655,0.0,0.0,0.10887097397193714,0.0,0.06538261477448705,0.060360836980648036,0.046395020550888136,0.0,0.0,0.0,0.05781018121311732,0.021477647149927757,0.10790542849678239,0.6007855940428518,0.16057155386605432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03959116090432343,0.0,0.0,0.0,0.0,0.03729735704790357,0.5905792886043463,0.029462857465833065,0.0,0.0,0.024675063295658717,0.0,0.0,0.14835936312429196,0.0,0.18077393047713158,0.0,0.14054192786788733,0.030771449203537284,0.0,0.04096965746355389,0.05511166968573793,0.0571120254268132,0.1448989466113342,0.030852376726240725,0.7512102865917017,0.0,0.0,0.1780803686283337,0.030216639911240906,0.0,0.0,0.0,0.0,0.0,0.09633532588939364,0.0,0.0,0.0,0.0,0.018985710526000232,0.0
AU_4,0.045590854164297805,0.07039369027164583,0.0,0.0,0.11471628943945009,0.11461673731315977,0.02764851512441302,0.03851231061117035,0.03383975184069018,0.025959977550397997,0.03218235487783315,0.0,0.04179670253198986,0.029195306815470556,0.0,0.0,0.0,0.0,0.06636886696094266,0.0,0.023768352948151186,0.0,0.033722254876351006,0.04381144075880765,0.06829238011168935,0.1562508548810041,0.03239650380856634,0.039001022385611844,0.08369228990937588,0.06258428176012414,0.03141375241955318,0.058862747841979916,0.09783679291198677,0.027571438386024147,0.0,0.032340160834962425,0.0860223251971153,0.05774155231158995,0.18125617136062389,0.026657095509573996,0.08693322446143886,0.07050113769679507,0.0,0.03323998244767745,0.0,0.07230478942551256,0.0,0.0,0.1592583041046173,0.0,0.0,0.10457459712267628,0.22480762367348706,0.0,0.0,0.0,0.32125855736455544,0.11550813946672597,0.0383042380888802,0.0,0.07578273640547827,0.0,0.0,0.033761755524064414,0.06230848821224486,0.07346334269218927,0.07028479042468697,0.029965394841721952,0.04250049811711604,0.03201215785036483,0.0,0.0779889284746598,0.0,0.0,0.0,0.0,0.08433261274412177,0.10579748913167022,0.1205771256111419,0.05891466637395992,0.0717580984167775,0.07076305402917019,0.07706723664767477,0.034949666876445906,0.024383139353282565,0.0,0.0,0.0,0.0,0.14619610492739996,0.44230948803178527,0.0,0.0682960099292429,0.0818005269902412,0.06650086366726016,0.02902294921377868,0.0,0.11828780786854612,0.0,0.07564690846839428,0.03370763141073034,0.06178986484929754,0.07920833244725642,0.025421461287621207,0.023558829700532257,0.0,0.0,0.11713426726413009,0.08180105578922538,0.0,0.0,0.0
AU_5,0.0,0.0,0.0,0.11471628943945009,0.0,0.0,0.0,0.03423150077208523,0.0,0.025939652859039004,0.0,0.02689711059374896,0.0,0.0,0.0,0.0,0.03861360937727351,0.0,0.0,0.0,0.050523198299796596,0.03525279566370678,0.0,0.0,0.0,0.04093636174250112,0.0,0.0,0.5720428197979606,0.0,0.0,0.0,0.025064113150953665,0.19063062021617322,0.0,0.16182073115353923,0.0,0.04742181714168716,0.0,0.02663622502778304,0.0,0.43278271435043464,0.0,0.0,0.0,0.0,0.0,0.0,0.6216057749923065,0.040821863260460306,0.0,0.0,0.039911291178457375,0.0,0.02780685722812234,0.0,0.12740645242907847,0.5363688869908096,0.0,0.030188787705057733,0.0,0.04075036036922253,0.053024811086435045,0.0,0.0,0.3738832417614433,0.0,0.0,0.03537635581842347,0.02792457329893841,0.0,0.02443236897245644,0.13651147103279512,0.04004468966572741,0.12666204357846364,0.0,0.0,0.0,0.6013616737398737,0.0,0.0,0.0,0.0,0.0,0.024364049206507338,0.0,0.0,0.0,0.0,0.0,0.15379586694087713,0.0,0.14628969074596582,0.0,0.0475046421679916,0.029000226448169485,0.039683256637170546,0.29785903107191813,0.0,0.0321755660683749,0.0,0.0,0.02481438380927575,0.025401558213608053,0.023540384925627784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU_6,0.0,0.0,0.0331970597300611,0.11461673731315977,0.0,0.0,0.0,0.0,0.06804225808608089,0.08109892223895719,0.14383273554983408,0.0,0.0,0.09781047443229232,0.0,0.0,0.0,0.0,0.046784043633505024,0.0,0.0,0.0,0.1031362240436923,0.0,0.0,0.49593189347910643,0.18987869059502518,0.0,0.0,0.033812511760156,0.0,0.03228221936477668,0.0,0.0,0.0,0.04883864456556138,0.0,0.0,0.06402972938600972,0.0,0.27236588855591876,0.0,0.03209518443649509,0.15251370224851796,0.0,0.0,0.0,0.0,0.0442289945859896,0.0,0.0,0.0,0.0,0.3404178576407116,0.0,0.0,0.14608772667544576,0.04472144676596478,0.0,0.0,0.030442018292400366,0.0,0.388057367276758,0.03139538585975638,0.03037768338181614,0.0,0.0,0.0663170759000556,0.11871244347915283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777873216492645,0.03344445323083256,0.0,0.031829922683309156,0.0,0.07589083236876426,0.23700732457637547,0.19342889979667596,0.0,0.0,0.03630205150274165,0.0,0.29091544278176984,0.0,0.18871702803203821,0.0701009383536852,0.0,0.06805834689897522,0.2737265770474826,0.0,0.03872441727756429,0.09248426595161896,0.06665617932044787,0.0,0.031345055318702936,0.03012483538684697,0.0,0.0,0.0,0.0,0.0,0.07983894878690893,0.0,0.03363471647077323,0.0,0.0
AU_7,0.0,0.06421905342329641,0.0,0.02764851512441302,0.0,0.0,0.0,0.0,0.0,0.03681175534460987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719676768415665,0.03219804253289433,0.0,0.0,0.051713664108985966,0.0,0.06575929858230256,0.0,0.0,0.07321491568988549,0.0,0.3851638360214504,0.0630128945270928,0.0,0.0,0.0,0.19081605441716015,0.028877998233343374,0.0,0.0,0.06092812510528412,0.0,0.0,0.0,0.0,0.0,0.418925174947521,0.10539681495931452,0.047203232014223315,0.08000524160001066,0.0,0.0,0.0,0.025828816074986386,0.02715344670291436,0.034007464252610885,0.0,0.0,0.026072296371165135,0.03077872467129985,0.07190687296641923,0.0,0.0957535114332658,0.03621529075477295,0.0,0.0,0.03066546225556242,0.0,0.20353536280398213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055120684316953265,0.08507445720482029,0.0,0.0344108534668832,0.18230091284478045,0.1045999176646072,0.0,0.0,0.0,0.0,0.0,0.2266311635741642,0.04739238445712513,0.03641707893539321,0.025637599047980016,0.02736145701149361,0.03503242570189363,0.062305372730411465,0.0,0.0,0.03688990700841627,0.0,0.0,0.0,0.1134814496971301,0.0,0.0,0.0,0.28196553407618213,0.04072751258851681,0.02679188484857327,0.18696310506707617,0.0,0.04432983482455877,0.06533176421516006,0.0,0.0
AU_8,0.0,0.0,0.044982669536971914,0.03851231061117035,0.03423150077208523,0.0,0.0,0.0,0.03159529472108026,0.0,0.0,0.0,0.0,0.0312245750271163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050393226522718736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03241289492041052,0.08026045091516312,0.03324209499399212,0.0462474042127745,0.030195165665462365,0.03222782617681143,0.0,0.0,0.11128213620680877,0.0,0.03496050687661261,0.0,0.0,0.0,0.0,0.0,0.046937646154235395,0.0,0.032523798607284486,0.0,0.0,0.03782271738214001,0.0,0.03839215929321309,0.0,0.0,0.0,0.0,0.0,0.08419072004888588,0.13944937922218897,0.0,0.03152247159215924,0.0,0.03201679478679198,0.0,0.0,0.02982198586701244,0.0,0.0,0.029480489733214186,0.02992413684005046,0.0,0.0,0.0,0.04777551093012638,0.0,0.0359803824602628,0.0,0.0,0.03303481003555962,0.0,0.0,0.2603978054400623,0.18032410972116528,0.0,0.09833679934004338,0.0,0.03571125514037577,0.0,0.0,0.0,0.07398306813970043,0.0,0.045137498910179034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19933422580186086,0.0,0.0,0.0
AU_9,0.0,0.0,0.0,0.03383975184069018,0.0,0.06804225808608089,0.0,0.03159529472108026,0.0,0.0,0.03768550301738523,0.13903567632709238,0.0,0.06503074391260118,0.0,0.0,0.10767933598367471,0.0,0.0,0.0,0.0,0.03085949863426625,0.0,0.032426378155978104,0.0,0.0325085169127117,0.037936271185406205,0.0,0.0,0.0,0.08705873996421229,0.3527776405795464,0.02987325422759945,0.06583419041691713,0.0,0.061181415686715784,0.03528612895544042,0.0,0.0,0.0,0.11888489810138847,0.06923741320162963,0.030356993743877212,0.0389239837664149,0.0,0.0,0.0,0.0,0.0,0.27588361156454283,0.0,0.03161257385372606,0.0,0.09757096477036563,0.0,0.0,0.0,0.03341894899803627,0.0,0.031917612342734686,0.0,0.0,0.037940986126041853,0.28210364839923324,0.028732508024682975,0.0,0.0,0.035089445194785136,0.028093186899883545,0.08871713537328085,0.0,0.032278080336185254,0.0,0.2635681425826864,0.0,0.0,0.0,0.07296505682476442,0.037362644790184654,0.0,0.0,0.31360146276516776,0.08383508134247575,0.04092602239732654,0.0,0.0,0.0,0.0,0.0,0.03137853825678738,0.031937281689194366,0.03638364101766751,0.0,0.0,0.06133150245787549,0.0,0.0,0.03237629863350699,0.2374755757839544,0.0,0.060734900614738005,0.08840128478762244,0.0,0.0,0.0,0.0,0.0,0.02877883493939176,0.059443997545420346,0.02886019554159813,0.0,0.0
AU_10,0.0,0.0,0.0,0.025959977550397997,0.025939652859039004,0.08109892223895719,0.03681175534460987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03141775247358414,0.021715321845899797,0.0,0.0,0.0,0.0,0.08043110750754942,0.0,0.0,0.05029613808408745,0.0,0.0,0.0,0.022917100951470714,0.34560685613246567,0.0346960657989749,0.0,0.0,0.0,0.0,0.024354544453713045,0.4894779186541238,0.07947472037284947,0.0,0.0,0.0350946536773839,0.0,0.0,0.0,0.02575477054798224,0.0,0.0,0.0,0.0,0.03318332451580703,0.0,0.0,0.0,0.0837269702585264,0.0,0.0,0.0,0.0,0.035646616190836845,0.0,0.0,0.0,0.03672137271806974,0.0,0.36860521128349244,0.0,0.0,0.022339472490135192,0.14116529533147576,0.0,0.04388661005280752,0.0,0.0,0.0,0.027264905414715754,0.03497778371712034,0.0,0.0,0.547100991125731,0.0,0.022277005050581007,0.0,0.0,0.0,0.06738638660846309,0.0,0.0,0.0,0.0,0.0,0.1188063233362246,0.02651604360088534,0.0,0.41408233255697346,0.0,0.0,0.0,0.0,0.022688763627133374,0.023225640197198295,0.021523896518020814,0.0,0.0,0.0,0.0,0.1308974169097142,0.0,0.0
