Topic,Word,P,Label,CountryTopic
1,government,0.020227963,Public health response,GB_1
1,country,0.009389767,Public health response,GB_1
1,need,0.009236247,Public health response,GB_1
1,tell,0.008945948,Public health response,GB_1
1,week,0.008118518,Public health response,GB_1
1,plan,0.007628425,Public health response,GB_1
1,add,0.007303129,Public health response,GB_1
1,continue,0.007173548,Public health response,GB_1
1,warn,0.006986645,Public health response,GB_1
1,measure,0.006873498,Public health response,GB_1
1,come,0.006694279,Public health response,GB_1
1,decision,0.005890117,Public health response,GB_1
1,pandemic,0.005653684,Public health response,GB_1
1,minister,0.005633075,Public health response,GB_1
1,public,0.00511021,Public health response,GB_1
1,today,0.005007057,Public health response,GB_1
1,ask,0.004883473,Public health response,GB_1
1,health,0.004879206,Public health response,GB_1
1,place,0.004757752,Public health response,GB_1
1,response,0.004755904,Public health response,GB_1
2,club,0.012979488,Sports and entertainment,GB_2
2,player,0.012367397,Sports and entertainment,GB_2
2,year,0.011190216,Sports and entertainment,GB_2
2,play,0.011077097,Sports and entertainment,GB_2
2,season,0.009889153,Sports and entertainment,GB_2
2,game,0.009396009,Sports and entertainment,GB_2
2,time,0.008892316,Sports and entertainment,GB_2
2,look,0.008141725,Sports and entertainment,GB_2
2,want,0.007888463,Sports and entertainment,GB_2
2,star,0.007727366,Sports and entertainment,GB_2
2,team,0.00767821,Sports and entertainment,GB_2
2,thing,0.006763053,Sports and entertainment,GB_2
2,fan,0.006409418,Sports and entertainment,GB_2
2,good,0.006252545,Sports and entertainment,GB_2
2,love,0.006176353,Sports and entertainment,GB_2
2,football,0.005995178,Sports and entertainment,GB_2
2,sport,0.005280963,Sports and entertainment,GB_2
2,lot,0.004997353,Sports and entertainment,GB_2
2,film,0.004753466,Sports and entertainment,GB_2
2,feel,0.004697856,Sports and entertainment,GB_2
3,business,0.020548241,Financial relief and loans,GB_3
3,pay,0.01819727,Financial relief and loans,GB_3
3,company,0.01594889,Financial relief and loans,GB_3
3,support,0.012963765,Financial relief and loans,GB_3
3,government,0.011908321,Financial relief and loans,GB_3
3,money,0.01126493,Financial relief and loans,GB_3
3,cut,0.009286669,Financial relief and loans,GB_3
3,loan,0.009118401,Financial relief and loans,GB_3
3,help,0.008859876,Financial relief and loans,GB_3
3,payment,0.008402224,Financial relief and loans,GB_3
3,cost,0.008049278,Financial relief and loans,GB_3
3,financial,0.008028592,Financial relief and loans,GB_3
3,bank,0.00789833,Financial relief and loans,GB_3
3,job,0.007797008,Financial relief and loans,GB_3
3,firm,0.007777294,Financial relief and loans,GB_3
3,crisis,0.007702801,Financial relief and loans,GB_3
3,scheme,0.007375939,Financial relief and loans,GB_3
3,fund,0.007325119,Financial relief and loans,GB_3
3,offer,0.006562449,Financial relief and loans,GB_3
3,income,0.006457949,Financial relief and loans,GB_3
4,market,0.026561402,Stock market and investment,GB_4
4,price,0.016757879,Stock market and investment,GB_4
4,demand,0.013307455,Stock market and investment,GB_4
4,fall,0.010851031,Stock market and investment,GB_4
4,year,0.010280976,Stock market and investment,GB_4
4,share,0.010230928,Stock market and investment,GB_4
4,company,0.009698218,Stock market and investment,GB_4
4,global,0.009651978,Stock market and investment,GB_4
4,rise,0.009561951,Stock market and investment,GB_4
4,low,0.009276289,Stock market and investment,GB_4
4,stock,0.009059865,Stock market and investment,GB_4
4,trade,0.008330742,Stock market and investment,GB_4
4,sale,0.007900178,Stock market and investment,GB_4
4,oil,0.007687477,Stock market and investment,GB_4
4,investor,0.007596092,Stock market and investment,GB_4
4,cut,0.007571317,Stock market and investment,GB_4
4,production,0.007379967,Stock market and investment,GB_4
4,analyst,0.006688447,Stock market and investment,GB_4
4,economic,0.006677049,Stock market and investment,GB_4
4,quarter,0.006523949,Stock market and investment,GB_4
